Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status
conv,printer responding,check printer connections,minutes,hardware,resolved followup
conv,blue screen error,restart computer,minutes,software,escalated
conv,cannot access shared drive,verify network permissions,minutes,network,escalated
conv,cannot access shared drive,check network settings reconnect,minutes,network,escalated
conv,cannot connect wifi,restart router,minutes,network,resolved followup
conv,slow system performance,restart computer,minutes,software,pending
conv,slow system performance,run antivirus scan remove threats,minutes,software,resolved
conv,software installation failure,reinstall software,minutes,performance,resolved
conv,blue screen error,restart computer,minutes,hardware,resolved
conv,unable access email,verify email settings,minutes,performance,escalated
conv,cannot access shared drive,check network settings reconnect,minutes,network,escalated
conv,unable access email,verify email settings,minutes,software,pending
conv,application crash,check system compatibility,minutes,software,pending
conv,unable access email,verify email settings,minutes,software,resolved
conv,slow system performance,clear cache remove unnecessary programs,minutes,software,pending
conv,application crash,update application,minutes,software,resolved followup
conv,cannot connect wifi,check network settings reconnect,minutes,network,pending
conv,blue screen error,run system diagnostic tool,minutes,hardware,resolved followup
conv,slow system performance,run antivirus scan remove threats,minutes,software,resolved followup
conv,unable access email,follow software installation guide,minutes,performance,resolved followup
conv,cannot print document,check printer connections,minutes,hardware,escalated
conv,blue screen error,update system drivers,minutes,software,resolved followup
conv,printer responding,reinstall printer drivers,minutes,hardware,escalated
conv,software installation failure,follow software installation guide,minutes,performance,pending
conv,unable access email,verify email settings,minutes,performance,resolved followup
conv,cannot access shared drive,verify network permissions,minutes,network,resolved
conv,forgot password,contact administrator password reset,minutes,account,pending
conv,slow system performance,clear cache remove unnecessary programs,minutes,performance,pending
conv,cannot connect wifi,check network settings reconnect,minutes,network,pending
conv,application crash,reinstall application,minutes,software,pending
conv,cannot access shared drive,check network settings reconnect,minutes,account,resolved
conv,slow system performance,run antivirus scan remove threats,minutes,software,escalated
conv,blue screen error,update system drivers,minutes,software,resolved
conv,printer responding,check printer connections,minutes,hardware,pending
conv,forgot password,reset password using link provided,minutes,account,escalated
conv,blue screen error,update system drivers,minutes,software,resolved
conv,slow system performance,run antivirus scan remove threats,minutes,software,pending
conv,cannot connect wifi,clear cache remove unnecessary programs,minutes,network,resolved
conv,slow system performance,run antivirus scan remove threats,minutes,performance,resolved
conv,cannot access shared drive,verify network permissions,minutes,account,escalated
conv,application crash,check system compatibility,minutes,software,resolved followup
conv,forgot password,reset password using link provided,minutes,account,resolved
conv,unable access email,run system diagnostic tool,minutes,software,escalated
conv,application crash,reinstall application,minutes,software,resolved followup
conv,blue screen error,restart computer,minutes,hardware,resolved
conv,printer responding,reinstall printer drivers,minutes,hardware,escalated
conv,cannot connect wifi,restart router,minutes,network,resolved followup
conv,slow system performance,clear cache remove unnecessary programs,minutes,software,resolved
conv,software installation failure,follow software installation guide,minutes,performance,resolved followup
conv,slow system performance,clear cache remove unnecessary programs,minutes,performance,escalated
conv,blue screen error,restart computer,minutes,software,resolved
conv,cannot print document,check printer connections,minutes,hardware,escalated
conv,unable access email,follow software installation guide,minutes,performance,resolved followup
conv,unable access email,run system diagnostic tool,minutes,account,pending
conv,unable access email,run system diagnostic tool,minutes,performance,escalated
conv,cannot access shared drive,verify network permissions,minutes,account,pending
conv,printer responding,restart printer computer,minutes,hardware,pending
conv,application crash,update application,minutes,software,resolved
conv,application crash,reinstall application,minutes,software,resolved
conv,printer responding,check printer connections,minutes,hardware,escalated
conv,forgot password,contact administrator password reset,minutes,account,resolved followup
conv,application crash,update application,minutes,software,escalated
conv,unable access email,verify email settings,minutes,performance,resolved followup
conv,blue screen error,update system drivers,minutes,software,pending
conv,application crash,update application,minutes,software,resolved
conv,cannot access shared drive,verify network permissions,minutes,account,resolved
conv,cannot access shared drive,verify network permissions,minutes,network,pending
conv,printer responding,reinstall printer drivers,minutes,hardware,resolved followup
conv,unable access email,run system diagnostic tool,minutes,account,resolved
