Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status
CONV-0001,Printer not responding,Check printer connections.,68 minutes,Hardware,Resolved after follow-up
CONV-0002,Blue screen error,Restart your computer.,109 minutes,Software,Escalated
CONV-0003,Cannot access shared drive,Verify your network permissions.,107 minutes,Network,Escalated
CONV-0004,Cannot access shared drive,Check network settings and reconnect.,92 minutes,Network,Escalated
CONV-0005,Cannot connect to Wi-Fi,Restart your router.,15 minutes,Network,Resolved after follow-up
CONV-0006,Slow system performance,Restart your computer.,55 minutes,Software,Pending
CONV-0007,Slow system performance,Run antivirus scan and remove threats.,7 minutes,Software,Resolved
CONV-0008,Software installation failure,Reinstall the software.,83 minutes,Performance,Resolved
CONV-0009,Blue screen error,Restart your computer.,20 minutes,Hardware,Resolved
CONV-0010,Unable to access email,Verify your email settings.,41 minutes,Performance,Escalated
CONV-0011,Cannot access shared drive,Check network settings and reconnect.,89 minutes,Network,Escalated
CONV-0012,Unable to access email,Verify your email settings.,80 minutes,Software,Pending
CONV-0013,Application crash,Check system compatibility.,60 minutes,Software,Pending
CONV-0014,Unable to access email,Verify your email settings.,66 minutes,Software,Resolved
CONV-0015,Slow system performance,Clear cache and remove unnecessary programs.,89 minutes,Software,Pending
CONV-0016,Application crash,Update the application.,63 minutes,Software,Resolved after follow-up
CONV-0017,Cannot connect to Wi-Fi,Check network settings and reconnect.,97 minutes,Network,Pending
CONV-0018,Blue screen error,Run a system diagnostic tool.,110 minutes,Hardware,Resolved after follow-up
CONV-0019,Slow system performance,Run antivirus scan and remove threats.,97 minutes,Software,Resolved after follow-up
CONV-0020,Unable to access email,Follow the software installation guide.,37 minutes,Performance,Resolved after follow-up
CONV-0021,Cannot print document,Check printer connections.,29 minutes,Hardware,Escalated
CONV-0022,Blue screen error,Update system drivers.,26 minutes,Software,Resolved after follow-up
CONV-0023,Printer not responding,Reinstall the printer drivers.,54 minutes,Hardware,Escalated
CONV-0024,Software installation failure,Follow the software installation guide.,45 minutes,Performance,Pending
CONV-0025,Unable to access email,Verify your email settings.,15 minutes,Performance,Resolved after follow-up
CONV-0026,Cannot access shared drive,Verify your network permissions.,109 minutes,Network,Resolved
CONV-0027,Forgot password,Contact administrator for password reset.,79 minutes,Account,Pending
CONV-0028,Slow system performance,Clear cache and remove unnecessary programs.,23 minutes,Performance,Pending
CONV-0029,Cannot connect to Wi-Fi,Check network settings and reconnect.,115 minutes,Network,Pending
CONV-0030,Application crash,Reinstall the application.,8 minutes,Software,Pending
CONV-0031,Cannot access shared drive,Check network settings and reconnect.,41 minutes,Account,Resolved
CONV-0032,Slow system performance,Run antivirus scan and remove threats.,58 minutes,Software,Escalated
CONV-0033,Blue screen error,Update system drivers.,112 minutes,Software,Resolved
CONV-0034,Printer not responding,Check printer connections.,117 minutes,Hardware,Pending
CONV-0035,Forgot password,Reset your password using the link provided.,93 minutes,Account,Escalated
CONV-0036,Blue screen error,Update system drivers.,34 minutes,Software,Resolved
CONV-0037,Slow system performance,Run antivirus scan and remove threats.,77 minutes,Software,Pending
CONV-0038,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,35 minutes,Network,Resolved
CONV-0039,Slow system performance,Run antivirus scan and remove threats.,24 minutes,Performance,Resolved
CONV-0040,Cannot access shared drive,Verify your network permissions.,34 minutes,Account,Escalated
CONV-0041,Application crash,Check system compatibility.,27 minutes,Software,Resolved after follow-up
CONV-0042,Forgot password,Reset your password using the link provided.,10 minutes,Account,Resolved
CONV-0043,Unable to access email,Run a system diagnostic tool.,113 minutes,Software,Escalated
CONV-0044,Application crash,Reinstall the application.,86 minutes,Software,Resolved after follow-up
CONV-0045,Blue screen error,Restart your computer.,48 minutes,Hardware,Resolved
CONV-0046,Printer not responding,Reinstall the printer drivers.,112 minutes,Hardware,Escalated
CONV-0047,Cannot connect to Wi-Fi,Restart your router.,77 minutes,Network,Resolved after follow-up
CONV-0048,Slow system performance,Clear cache and remove unnecessary programs.,30 minutes,Software,Resolved
CONV-0049,Software installation failure,Follow the software installation guide.,83 minutes,Performance,Resolved after follow-up
CONV-0050,Slow system performance,Clear cache and remove unnecessary programs.,40 minutes,Performance,Escalated
CONV-0051,Blue screen error,Restart your computer.,74 minutes,Software,Resolved
CONV-0052,Cannot print document,Check printer connections.,38 minutes,Hardware,Escalated
CONV-0053,Unable to access email,Follow the software installation guide.,6 minutes,Performance,Resolved after follow-up
CONV-0054,Unable to access email,Run a system diagnostic tool.,17 minutes,Account,Pending
CONV-0055,Unable to access email,Run a system diagnostic tool.,45 minutes,Performance,Escalated
CONV-0056,Cannot access shared drive,Verify your network permissions.,58 minutes,Account,Pending
CONV-0057,Printer not responding,Restart printer and computer.,116 minutes,Hardware,Pending
CONV-0058,Application crash,Update the application.,106 minutes,Software,Resolved
CONV-0059,Application crash,Reinstall the application.,80 minutes,Software,Resolved
CONV-0060,Printer not responding,Check printer connections.,82 minutes,Hardware,Escalated
CONV-0061,Forgot password,Contact administrator for password reset.,111 minutes,Account,Resolved after follow-up
CONV-0062,Application crash,Update the application.,67 minutes,Software,Escalated
CONV-0063,Unable to access email,Verify your email settings.,49 minutes,Performance,Resolved after follow-up
CONV-0064,Blue screen error,Update system drivers.,43 minutes,Software,Pending
CONV-0065,Application crash,Update the application.,40 minutes,Software,Resolved
CONV-0066,Cannot access shared drive,Verify your network permissions.,90 minutes,Account,Resolved
CONV-0067,Cannot access shared drive,Verify your network permissions.,54 minutes,Network,Pending
CONV-0068,Printer not responding,Reinstall the printer drivers.,114 minutes,Hardware,Resolved after follow-up
CONV-0069,Unable to access email,Run a system diagnostic tool.,23 minutes,Account,Resolved
CONV-0070,Printer not responding,Restart printer and computer.,50 minutes,Hardware,Pending
CONV-0071,Software installation failure,Follow the software installation guide.,75 minutes,Software,Resolved after follow-up
CONV-0072,Slow system performance,Clear cache and remove unnecessary programs.,93 minutes,Software,Resolved
CONV-0073,Cannot print document,Check printer connections.,16 minutes,Hardware,Escalated
CONV-0074,Cannot access shared drive,Verify your network permissions.,42 minutes,Account,Pending
CONV-0075,Slow system performance,Clear cache and remove unnecessary programs.,117 minutes,Software,Resolved after follow-up
CONV-0076,Application crash,Update the application.,40 minutes,Software,Resolved after follow-up
CONV-0077,Cannot connect to Wi-Fi,Restart your router.,17 minutes,Network,Pending
CONV-0078,Unable to access email,Verify your email settings.,102 minutes,Account,Resolved after follow-up
CONV-0079,Cannot connect to Wi-Fi,Restart your router.,41 minutes,Network,Pending
CONV-0080,Printer not responding,Restart printer and computer.,96 minutes,Hardware,Resolved
CONV-0081,Cannot print document,Reinstall the printer drivers.,47 minutes,Hardware,Resolved
CONV-0082,Application crash,Check system compatibility.,50 minutes,Software,Resolved
CONV-0083,Application crash,Reinstall the application.,62 minutes,Software,Escalated
CONV-0084,Application crash,Check system compatibility.,8 minutes,Software,Resolved after follow-up
CONV-0085,Slow system performance,Restart your computer.,93 minutes,Software,Resolved after follow-up
CONV-0086,Cannot print document,Reinstall the printer drivers.,102 minutes,Hardware,Pending
CONV-0087,Unable to access email,Follow the software installation guide.,62 minutes,Software,Resolved
CONV-0088,Application crash,Check system compatibility.,87 minutes,Software,Pending
CONV-0089,Printer not responding,Restart printer and computer.,65 minutes,Hardware,Resolved
CONV-0090,Printer not responding,Restart printer and computer.,46 minutes,Hardware,Pending
CONV-0091,Cannot access shared drive,Verify your network permissions.,31 minutes,Network,Pending
CONV-0092,Software installation failure,Reinstall the software.,112 minutes,Performance,Resolved
CONV-0093,Cannot connect to Wi-Fi,Restart your router.,52 minutes,Network,Resolved
CONV-0094,Cannot print document,Check printer connections.,37 minutes,Hardware,Escalated
CONV-0095,Software installation failure,Verify your system requirements.,19 minutes,Performance,Escalated
CONV-0096,Cannot print document,Check printer connections.,51 minutes,Hardware,Resolved after follow-up
CONV-0097,Application crash,Check system compatibility.,54 minutes,Software,Pending
CONV-0098,Slow system performance,Restart your computer.,62 minutes,Software,Escalated
CONV-0099,Software installation failure,Verify your system requirements.,32 minutes,Software,Pending
CONV-0100,Forgot password,Reset your password using the link provided.,96 minutes,Account,Resolved
CONV-0101,Cannot connect to Wi-Fi,Check network settings and reconnect.,50 minutes,Network,Resolved after follow-up
CONV-0102,Slow system performance,Clear cache and remove unnecessary programs.,99 minutes,Software,Pending
CONV-0103,Printer not responding,Reinstall the printer drivers.,81 minutes,Hardware,Pending
CONV-0104,Cannot print document,Check printer connections.,91 minutes,Hardware,Resolved after follow-up
CONV-0105,Forgot password,Reset your password using the link provided.,20 minutes,Account,Pending
CONV-0106,Cannot print document,Check printer connections.,43 minutes,Hardware,Escalated
